iter	Passed	Remaining
150	854	4805
151	860	4801
152	865	4793
153	871	4789
154	877	4782
155	883	4779
156	889	4775
157	895	4771
158	900	4764
159	906	4759
160	912	4754
161	918	4749
162	924	4745
163	929	4738
164	935	4735
165	942	4733
166	948	4730
167	954	4726
168	959	4719
169	965	4713
170	971	4707
171	976	4700
172	981	4693
173	987	4688
174	993	4682
175	998	4676
176	1004	4668
177	1010	4667
178	1016	4660
179	1021	4654
180	1028	4653
181	1034	4651
182	1060	4734
183	1075	4767
184	1082	4769
185	1097	4802
186	1103	4799
187	1110	4794
188	1115	4785
189	1120	4778
190	1127	4775
191	1133	4768
192	1138	4761
193	1144	4753
194	1149	4746
195	1155	4740
196	1161	4732
197	1166	4724
198	1172	4718
199	1177	4710
200	1184	4706
201	1189	4699
202	1196	4696
203	1201	4689
204	1207	4683
205	1212	4675
206	1218	4667
207	1224	4661
208	1231	4659
209	1236	4652
210	1242	4645
211	1247	4637
212	1253	4632
213	1259	4627
214	1265	4619
215	1270	4612
216	1275	4604
217	1281	4597
218	1287	4590
219	1293	4584
220	1298	4577
221	1304	4571
222	1310	4566
223	1315	4558
224	1321	4553
225	1327	4546
226	1333	4539
227	1338	4533
228	1344	4525
229	1349	4517
230	1355	4512
231	1361	4505
232	1366	4498
233	1372	4493
234	1378	4486
235	1383	4478
236	1389	4472
237	1395	4468
238	1402	4464
239	1409	4462
240	1415	4458
241	1422	4456
242	1429	4452
243	1436	4449
244	1441	4441
245	1446	4433
246	1451	4426
247	1457	4418
248	1463	4413
249	1468	4405
250	1473	4397
251	1479	4390
252	1484	4384
253	1490	4377
254	1495	4370
255	1501	4363
256	1506	4355
257	1512	4348
258	1517	4341
259	1523	4337
260	1529	4331
261	1535	4324
262	1540	4317
263	1546	4310
264	1552	4305
265	1558	4299
266	1563	4293
267	1569	4286
268	1575	4280
269	1580	4273
270	1586	4268
271	1592	4261
272	1598	4255
273	1603	4249
274	1609	4242
275	1614	4235
276	1620	4228
277	1625	4222
278	1631	4216
279	1637	4210
280	1642	4203
281	1648	4197
282	1654	4192
283	1660	4185
284	1666	4179
285	1671	4172
286	1677	4166
287	1682	4160
288	1688	4154
289	1694	4147
290	1699	4141
291	1705	4135
292	1711	4128
293	1716	4122
294	1722	4115
295	1727	4109
296	1734	4104
297	1739	4097
298	1745	4092
299	1752	4088
300	1757	4082
301	1763	4077
302	1769	4070
303	1774	4063
304	1780	4058
305	1787	4052
306	1792	4046
307	1798	4039
308	1803	4033
309	1809	4026
310	1814	4020
311	1820	4014
312	1825	4007
313	1831	4000
314	1837	3995
315	1844	3992
316	1851	3988
317	1856	3982
318	1862	3976
319	1868	3971
320	1874	3965
321	1880	3959
322	1886	3953
323	1892	3948
324	1899	3944
325	1904	3937
326	1910	3931
327	1916	3925
328	1921	3919
329	1927	3912
330	1932	3906
331	1938	3899
332	1943	3893
333	1949	3887
334	1956	3882
335	1962	3878
336	1969	3874
337	1975	3870
338	1981	3864
339	1987	3857
340	1992	3851
341	1998	3844
342	2003	3837
343	2009	3831
344	2015	3825
345	2020	3818
346	2025	3811
347	2031	3805
348	2037	3800
349	2042	3793
350	2048	3787
351	2053	3780
352	2059	3774
353	2065	3768
354	2070	3761
355	2075	3755
356	2082	3750
357	2088	3744
358	2093	3738
359	2099	3733
360	2105	3727
361	2111	3721
362	2117	3714
363	2122	3708
364	2128	3702
365	2134	3696
366	2139	3690
367	2145	3685
368	2151	3678
369	2156	3672
370	2162	3666
371	2168	3661
372	2174	3654
373	2180	3649
374	2185	3642
375	2190	3635
376	2196	3629
377	2202	3623
378	2207	3616
379	2212	3610
380	2218	3603
381	2223	3597
382	2229	3591
383	2235	3585
384	2240	3579
385	2246	3573
386	2252	3567
387	2258	3561
388	2263	3555
389	2269	3549
390	2274	3543
391	2280	3536
392	2286	3530
393	2291	3525
394	2298	3520
395	2303	3513
396	2309	3508
397	2314	3501
398	2320	3495
399	2326	3489
400	2331	3482
401	2337	3476
402	2342	3470
403	2348	3464
404	2354	3458
405	2359	3452
406	2365	3446
407	2370	3439
408	2376	3434
409	2382	3428
410	2387	3421
411	2393	3416
412	2398	3409
413	2404	3403
414	2410	3397
415	2415	3391
416	2421	3384
417	2427	3379
418	2432	3372
419	2437	3366
420	2444	3361
421	2449	3355
422	2455	3349
423	2461	3343
424	2467	3337
425	2472	3331
426	2478	3325
427	2483	3319
428	2489	3313
429	2494	3306
430	2500	3300
431	2505	3294
432	2511	3288
433	2516	3282
434	2522	3276
435	2528	3270
436	2533	3264
437	2539	3258
438	2544	3252
439	2550	3246
440	2556	3240
441	2561	3234
442	2567	3227
443	2572	3221
444	2578	3215
445	2584	3210
446	2590	3204
447	2596	3199
448	2602	3193
449	2608	3187
450	2613	3181
451	2619	3176
452	2625	3170
453	2631	3164
454	2637	3158
455	2643	3153
456	2648	3147
457	2654	3141
458	2660	3135
459	2665	3129
460	2671	3123
461	2677	3117
462	2683	3112
463	2689	3106
464	2695	3100
465	2700	3094
466	2706	3088
467	2712	3083
468	2718	3078
469	2724	3072
470	2730	3067
471	2737	3061
472	2742	3055
473	2748	3050
474	2754	3044
475	2760	3038
476	2765	3032
477	2771	3026
478	2777	3020
479	2782	3014
480	2788	3008
481	2793	3002
482	2799	2996
483	2804	2990
484	2810	2984
485	2816	2978
486	2821	2972
487	2826	2965
488	2832	2959
489	2837	2953
490	2843	2947
491	2848	2941
492	2854	2935
493	2860	2930
494	2866	2924
495	2872	2918
496	2877	2912
497	2882	2905
498	2888	2899
499	2894	2894
500	2900	2889
501	2906	2883
502	2911	2876
503	2917	2871
504	2922	2865
505	2928	2859
506	2933	2852
507	2939	2847
508	2945	2841
509	2951	2835
510	2956	2829
511	2962	2823
512	2969	2818
513	2974	2812
514	2979	2806
515	2985	2800
516	2990	2794
517	2996	2788
518	3002	2782
519	3008	2777
520	3013	2770
521	3019	2764
522	3024	2758
523	3029	2752
524	3035	2746
525	3040	2740
526	3047	2734
527	3052	2728
528	3057	2722
529	3063	2716
530	3068	2710
531	3074	2704
532	3080	2699
533	3087	2694
534	3092	2688
535	3098	2682
536	3103	2676
537	3109	2670
538	3115	2664
539	3120	2657
540	3125	2651
541	3130	2645
542	3136	2639
543	3142	2633
544	3147	2627
545	3152	2621
546	3158	2615
547	3164	2610
548	3170	2604
549	3175	2598
550	3181	2592
551	3186	2586
552	3192	2580
553	3198	2574
554	3203	2568
555	3209	2562
556	3214	2556
557	3220	2550
558	3225	2544
559	3231	2538
560	3236	2532
561	3242	2527
562	3248	2521
563	3253	2515
564	3259	2509
565	3265	2503
566	3270	2497
567	3276	2491
568	3282	2486
569	3288	2480
570	3294	2475
571	3299	2469
572	3305	2463
573	3310	2456
574	3316	2451
575	3322	2445
576	3327	2439
577	3333	2433
578	3339	2428
579	3345	2422
580	3350	2416
581	3356	2410
582	3362	2405
583	3368	2399
584	3373	2393
585	3379	2387
586	3385	2381
587	3391	2376
588	3397	2370
589	3402	2364
590	3409	2359
591	3414	2353
592	3421	2348
593	3428	2343
594	3435	2338
595	3442	2333
596	3448	2327
597	3455	2322
598	3460	2316
599	3466	2311
600	3472	2305
601	3478	2299
602	3483	2293
603	3489	2287
604	3494	2281
605	3500	2276
606	3506	2270
607	3511	2264
608	3517	2258
609	3522	2251
610	3527	2245
611	3533	2240
612	3539	2234
613	3545	2229
614	3551	2223
615	3556	2217
616	3563	2211
617	3568	2205
618	3573	2199
619	3579	2194
620	3585	2188
621	3590	2182
622	3596	2176
623	3601	2170
624	3607	2164
625	3612	2158
626	3618	2152
627	3624	2147
628	3630	2141
629	3635	2135
630	3641	2129
631	3647	2123
632	3653	2118
633	3659	2112
634	3664	2106
635	3670	2100
636	3676	2094
637	3681	2088
638	3687	2083
639	3693	2077
640	3698	2071
641	3704	2065
642	3709	2059
643	3716	2054
644	3722	2048
645	3728	2043
646	3734	2037
647	3740	2031
648	3745	2025
649	3751	2019
650	3756	2013
651	3762	2008
652	3768	2002
653	3774	1996
654	3780	1991
655	3785	1985
656	3790	1979
657	3796	1973
658	3802	1967
659	3808	1961
660	3813	1955
661	3819	1950
662	3825	1944
663	3830	1938
664	3836	1932
665	3841	1926
666	3847	1920
667	3852	1914
668	3857	1908
669	3863	1902
670	3868	1896
671	3874	1891
672	3880	1885
673	3885	1879
674	3891	1873
675	3897	1867
676	3903	1862
677	3909	1856
678	3914	1850
679	3920	1844
680	3926	1839
681	3931	1833
682	3937	1827
683	3942	1821
684	3948	1815
685	3953	1809
686	3959	1803
687	3964	1798
688	3970	1792
689	3976	1786
690	3982	1780
691	3987	1774
692	3992	1768
693	3998	1762
694	4003	1757
695	4009	1751
696	4014	1745
697	4019	1739
698	4026	1733
699	4031	1727
700	4037	1722
701	4043	1716
702	4049	1710
703	4055	1705
704	4060	1699
705	4066	1693
706	4072	1687
707	4078	1682
708	4084	1676
709	4089	1670
710	4095	1664
711	4100	1658
712	4105	1652
713	4111	1646
714	4117	1641
715	4122	1635
716	4128	1629
717	4134	1623
718	4140	1618
719	4146	1612
720	4151	1606
721	4157	1600
722	4162	1594
723	4168	1589
724	4174	1583
725	4180	1577
726	4186	1572
727	4191	1566
728	4197	1560
729	4202	1554
730	4207	1548
731	4213	1542
732	4219	1536
733	4224	1531
734	4230	1525
735	4236	1519
736	4242	1513
737	4248	1508
738	4254	1502
739	4259	1496
740	4265	1490
741	4271	1485
742	4276	1479
743	4282	1473
744	4289	1468
745	4294	1462
746	4300	1456
747	4306	1450
748	4312	1445
749	4318	1439
750	4323	1433
751	4329	1427
752	4335	1422
753	4340	1416
754	4346	1410
755	4352	1404
756	4358	1399
757	4363	1393
758	4369	1387
759	4374	1381
760	4380	1375
761	4386	1369
762	4391	1364
763	4396	1358
764	4402	1352
765	4408	1346
766	4414	1340
767	4420	1335
768	4425	1329
769	4430	1323
770	4436	1317
771	4442	1311
772	4448	1306
773	4453	1300
774	4458	1294
775	4464	1288
776	4470	1282
777	4475	1277
778	4481	1271
779	4487	1265
780	4492	1259
781	4498	1253
782	4503	1248
783	4508	1242
784	4514	1236
785	4520	1230
786	4526	1225
787	4532	1219
788	4538	1213
789	4544	1207
790	4549	1202
791	4555	1196
792	4560	1190
793	4566	1184
794	4572	1179
795	4577	1173
796	4583	1167
797	4589	1161
798	4594	1155
799	4600	1150
800	4606	1144
801	4611	1138
802	4617	1132
803	4622	1126
804	4627	1121
805	4633	1115
806	4639	1109
807	4644	1103
808	4649	1097
809	4654	1091
810	4660	1086
811	4667	1080
812	4672	1074
813	4677	1068
814	4684	1063
815	4690	1057
816	4696	1051
817	4701	1046
818	4707	1040
819	4713	1034
820	4718	1028
821	4724	1022
822	4730	1017
823	4735	1011
824	4741	1005
825	4747	1000
826	4752	994
827	4758	988
828	4764	982
829	4769	976
830	4775	971
831	4781	965
832	4786	959
833	4792	953
834	4797	948
835	4803	942
836	4808	936
837	4814	930
838	4820	925
839	4825	919
840	4831	913
841	4837	907
842	4842	901
843	4848	896
844	4853	890
845	4859	884
846	4865	878
847	4870	873
848	4876	867
849	4882	861
850	4888	855
851	4893	850
852	4899	844
853	4905	838
854	4910	832
855	4916	827
856	4921	821
857	4927	815
858	4932	809
859	4938	803
860	4944	798
861	4950	792
862	4955	786
863	4961	781
864	4967	775
865	4973	769
866	4979	763
867	4985	758
868	4990	752
869	4996	746
870	5001	740
871	5007	735
872	5013	729
873	5019	723
874	5024	717
875	5030	712
876	5035	706
877	5041	700
878	5046	694
879	5051	688
880	5057	683
881	5063	677
882	5069	671
883	5074	665
884	5080	660
885	5086	654
886	5092	648
887	5097	642
888	5102	637
889	5107	631
890	5113	625
891	5118	619
892	5124	614
893	5130	608
894	5136	602
895	5142	596
896	5147	591
897	5152	585
898	5158	579
899	5164	573
900	5170	568
901	5176	562
902	5182	556
903	5187	550
904	5193	545
905	5198	539
906	5204	533
907	5209	527
908	5215	522
909	5221	516
910	5226	510
911	5233	504
912	5238	499
913	5244	493
914	5249	487
915	5255	481
916	5261	476
917	5266	470
918	5272	464
919	5278	458
920	5283	453
921	5289	447
922	5295	441
923	5301	436
924	5307	430
925	5312	424
926	5318	418
927	5324	413
928	5329	407
929	5335	401
930	5341	395
931	5347	390
932	5352	384
933	5358	378
934	5363	372
935	5368	367
936	5374	361
937	5379	355
938	5385	349
939	5391	344
940	5396	338
941	5403	332
942	5408	326
943	5415	321
944	5421	315
945	5426	309
946	5432	304
947	5438	298
948	5445	292
949	5451	286
950	5458	281
951	5464	275
952	5472	269
953	5477	264
954	5483	258
955	5489	252
956	5494	246
957	5500	241
958	5505	235
959	5511	229
960	5517	223
961	5522	218
962	5528	212
963	5533	206
964	5539	200
965	5544	195
966	5550	189
967	5555	183
968	5561	177
969	5566	172
970	5572	166
971	5578	160
972	5583	154
973	5589	149
974	5594	143
975	5600	137
976	5606	131
977	5611	126
978	5616	120
979	5622	114
980	5628	109
981	5633	103
982	5639	97
983	5644	91
984	5650	86
985	5656	80
986	5662	74
987	5668	68
988	5673	63
989	5679	57
990	5686	51
991	5691	45
992	5697	40
993	5703	34
994	5709	28
995	5714	22
996	5720	17
997	5726	11
998	5731	5
999	5737	0
