iter	Logloss
0	0.6256865132
1	0.5678478356
2	0.5209569298
3	0.4805640178
4	0.4457886012
5	0.415245193
6	0.3911564362
7	0.3702236903
8	0.3526350403
9	0.3345480932
10	0.3188120027
11	0.3059691898
12	0.2954328859
13	0.2857802475
14	0.2773923369
15	0.2691935783
16	0.2626354926
17	0.2561592081
18	0.2516474822
19	0.2461440884
20	0.2413175941
21	0.2362972411
22	0.2326739006
23	0.2289009817
24	0.2260213156
25	0.2226181672
26	0.2204624293
27	0.2181824182
28	0.2154287598
29	0.2129822525
30	0.210948885
31	0.2093019779
32	0.2069778022
33	0.2055554609
34	0.2041928436
35	0.2025727727
36	0.2014892373
37	0.1999404274
38	0.1982007237
39	0.1971679733
40	0.1958220819
41	0.1945418661
42	0.1937953061
43	0.1925477267
44	0.1912988248
45	0.1904245346
46	0.1893607169
47	0.1884651028
48	0.1872155132
49	0.1861907917
50	0.1850576901
51	0.1839434172
52	0.1829674849
53	0.1823748638
54	0.1816838132
55	0.1808283286
56	0.1803301781
57	0.1794025408
58	0.17844401
59	0.1780768098
60	0.1775455785
61	0.1771831067
62	0.1764692254
63	0.1754554409
64	0.1743623968
65	0.1735814946
66	0.1727216155
67	0.1722989712
68	0.1715401159
69	0.1709206598
70	0.1703270345
71	0.1699424208
72	0.1696206138
73	0.1690550967
74	0.1687766002
75	0.1682260746
76	0.1680021431
77	0.1672869536
78	0.1666553067
79	0.1660943241
80	0.1655526993
81	0.1652256552
82	0.1647712957
83	0.1643264013
84	0.1638706326
85	0.1635184899
86	0.1631163991
87	0.1625868176
88	0.1621239553
89	0.1616972839
90	0.1614817289
91	0.1609545265
92	0.1605886751
93	0.1602143532
94	0.1597048326
95	0.159379884
96	0.1588898472
97	0.158596678
98	0.1581670442
99	0.1578010552
100	0.1574109923
101	0.1570646933
102	0.1567386033
103	0.1564392158
104	0.1560972504
105	0.1557671372
106	0.1553425133
107	0.1549669102
108	0.1546530953
109	0.1545318412
110	0.1541111474
111	0.1537632438
112	0.1533740057
113	0.1531070907
114	0.1527690108
115	0.1524467809
116	0.1520642981
117	0.1517474501
118	0.1514000716
119	0.1510502015
120	0.1504747055
121	0.1500696443
122	0.1496768465
123	0.1494291121
124	0.1489886341
125	0.148769051
126	0.1484529975
127	0.1481676023
128	0.1479647102
129	0.1477892578
130	0.1474185794
131	0.147150364
132	0.1467245523
133	0.1464921771
134	0.1460797863
135	0.1457512495
136	0.1455121949
137	0.1452218153
138	0.1449443807
139	0.1446721168
140	0.1445353143
141	0.1442747746
142	0.1440832119
143	0.143941097
144	0.1437757758
145	0.143510858
146	0.1432784633
147	0.1430634266
148	0.1427474459
149	0.1424943304
150	0.1422548079
151	0.1421261698
152	0.1418412684
153	0.1415824754
154	0.141263715
155	0.1409182783
156	0.1406121223
157	0.1403794979
158	0.1400907799
159	0.13988545
160	0.1395637167
161	0.1394870043
162	0.139280364
163	0.1391221227
164	0.1388617387
165	0.1386282972
166	0.1384969538
167	0.1382448206
168	0.137904329
169	0.1376219959
170	0.1373328596
171	0.1370547746
172	0.1369171875
173	0.1365405787
174	0.1361412239
175	0.1358679957
176	0.1356575124
177	0.135446216
178	0.135227785
179	0.1350383365
180	0.1349037214
181	0.1346722257
182	0.1343764915
183	0.1341152778
184	0.1339310838
185	0.1335915466
186	0.1334065355
187	0.1331766656
188	0.1329078874
189	0.1327334118
190	0.132393088
191	0.1320675421
192	0.131903734
193	0.1317463791
194	0.1315710385
195	0.1313776232
196	0.1310987787
197	0.1308976708
198	0.1306978026
199	0.1302178224
200	0.1300216899
201	0.1297832149
202	0.1295708689
203	0.1293597381
204	0.1290945647
205	0.1288625397
206	0.1286783821
207	0.1285083557
208	0.1281993267
209	0.128062516
210	0.1278772708
211	0.1276630175
212	0.1273408417
213	0.1272302921
214	0.1270163526
215	0.1268291736
216	0.126709372
217	0.1265374491
218	0.1263081686
219	0.1261238137
220	0.1259321426
221	0.1257487737
222	0.1256801433
223	0.12547815
224	0.1253083444
225	0.1251114644
226	0.1249737226
227	0.1247785858
228	0.1246274163
229	0.1244550496
230	0.1241164511
231	0.1239786966
232	0.1237529869
233	0.1235484189
234	0.1233486909
235	0.123191313
236	0.1230458019
237	0.1228358288
238	0.1226214177
239	0.1224815376
240	0.1223001251
241	0.1222053273
242	0.1220231278
243	0.1217591369
244	0.1216056879
245	0.1213884705
246	0.1212460982
247	0.1209921236
248	0.1208136233
249	0.1206380581
250	0.1204321289
251	0.1202794156
252	0.1201164734
253	0.1199192018
254	0.1197148614
255	0.1195803146
256	0.1193636813
257	0.1191903904
258	0.1190422119
259	0.1188963667
260	0.1187859774
261	0.1186066994
262	0.1184892451
263	0.1183652641
264	0.1181920707
265	0.1179950337
266	0.1178274364
267	0.117674826
268	0.1174933936
269	0.1173242093
270	0.1171402589
271	0.1170344739
272	0.11687578
273	0.1167859452
274	0.1166392772
275	0.1165408755
276	0.116420666
277	0.1163100753
278	0.1160443707
279	0.1158577022
280	0.1156618565
281	0.11548065
282	0.11537918
283	0.11525093
284	0.1150160227
285	0.1149355398
286	0.1147626754
287	0.114547361
288	0.1144027338
289	0.1142598379
290	0.1141422392
291	0.1139341435
292	0.1138295198
293	0.1135557667
294	0.113429776
295	0.1132290853
296	0.1131052817
297	0.1129575426
298	0.1128614215
299	0.1127993335
300	0.1127041558
301	0.1126023402
302	0.1125447705
303	0.1123854587
304	0.1121926786
305	0.1120650838
306	0.1119508558
307	0.1118469938
308	0.111692755
309	0.1116385891
310	0.1115348281
311	0.1114644479
312	0.1113278104
313	0.1112221079
314	0.1110229817
315	0.1109062991
316	0.1108515352
317	0.1107318693
318	0.1105334963
319	0.110316974
320	0.1101910167
321	0.1100337049
322	0.1098654706
323	0.1097443081
324	0.1095725936
325	0.1094541168
326	0.109390887
327	0.1092200625
328	0.1090789766
329	0.1088857734
330	0.1087144075
331	0.1085608051
332	0.1084512839
333	0.1083167323
334	0.1082395641
335	0.1081002827
336	0.1079552818
337	0.1078497071
338	0.1076399005
339	0.1075776634
340	0.1075035171
341	0.1074146785
342	0.1073950106
343	0.1072296019
344	0.1070881125
345	0.1070532942
346	0.1069460402
347	0.1067985205
348	0.1066071187
349	0.1065034712
350	0.1063456043
351	0.1062571675
352	0.1060859158
353	0.1060536751
354	0.1059310139
355	0.105838394
356	0.1057211902
357	0.1056873647
358	0.1055381272
359	0.1054185381
360	0.105322318
361	0.1051965889
362	0.1050279748
363	0.1049772847
364	0.1048497025
365	0.1047665156
366	0.1046753833
367	0.1045761574
368	0.1044846537
369	0.1044647343
370	0.1043630327
371	0.1041653835
372	0.1040995784
373	0.1039719861
374	0.1038483605
375	0.1037641254
376	0.1035948886
377	0.1034002209
378	0.1032350396
379	0.1030887831
380	0.1029324869
381	0.1028594434
382	0.1027315621
383	0.1025956946
384	0.1024219446
385	0.1023033727
386	0.1021792133
387	0.1020394589
388	0.1020170181
389	0.1018829913
390	0.1017509459
391	0.1016238352
392	0.1014394913
393	0.1013893936
394	0.1012547784
395	0.1010858443
396	0.1009478113
397	0.1008901406
398	0.1008162068
399	0.1007015712
400	0.1006348675
401	0.1004741302
402	0.1004239735
403	0.1002655159
404	0.1002483642
405	0.1000543307
406	0.1000077779
407	0.09990607428
408	0.09982083767
409	0.09968535144
410	0.09966392968
411	0.09958705014
412	0.09949584761
413	0.09941547069
414	0.09939670519
415	0.09928689436
416	0.09919183469
417	0.09915563228
418	0.0991211621
419	0.09896607161
420	0.09889698555
421	0.0987949121
422	0.09867363192
423	0.09859209138
424	0.09855228157
425	0.09840103203
426	0.09824245363
427	0.09815011546
428	0.09810426098
429	0.09804714622
430	0.09791054064
431	0.09781683624
432	0.09772878692
433	0.09766558755
434	0.09756768445
435	0.09748758129
436	0.09740420668
437	0.0972954573
438	0.0972099099
439	0.09706107751
440	0.097033859
441	0.09697418539
442	0.09694367389
443	0.09691708845
444	0.09686439315
445	0.09677800487
446	0.09662745204
447	0.09654978944
448	0.09645199674
449	0.09635566299
450	0.09626490105
451	0.09614074924
452	0.09601612711
453	0.09588196731
454	0.09577410466
455	0.09560903097
456	0.09547330175
457	0.09534611183
458	0.09520214068
459	0.09515823392
460	0.09507329009
461	0.09497454684
462	0.09486650939
463	0.0947289725
464	0.09457030252
465	0.09445630973
466	0.09439423846
467	0.09425058063
468	0.09413705734
469	0.09401721976
470	0.09389824986
471	0.09387303205
472	0.09379029801
473	0.09367805345
474	0.09359547602
475	0.0935200073
476	0.09340527823
477	0.09329707928
478	0.09309133987
479	0.09298898856
480	0.09294063556
481	0.09290207959
482	0.09282367862
483	0.09275815928
484	0.09270110184
485	0.09265851385
486	0.09254865493
487	0.09249239506
488	0.09235337945
489	0.09225477804
490	0.09218090699
491	0.09216045235
492	0.09207999931
493	0.09198846254
494	0.09194384481
495	0.09188496216
496	0.09183595236
497	0.09173877956
498	0.09166123064
499	0.09163996766
500	0.09153889535
501	0.09141604741
502	0.09129115426
503	0.09119747215
504	0.09112514555
505	0.09102720938
506	0.09093356082
507	0.09082993511
508	0.0907380734
509	0.0906009956
510	0.09051429385
511	0.09045558231
512	0.09041374487
513	0.09032104833
514	0.09028815404
515	0.09023302142
516	0.09014984572
517	0.09008454875
518	0.08994039039
519	0.08978904436
520	0.08965613521
521	0.0896303045
522	0.08958545815
523	0.08948978219
524	0.08941046015
525	0.08934840976
526	0.08920715847
527	0.08917710325
528	0.08912782397
529	0.08907117184
530	0.08903509146
531	0.08898763556
532	0.08894245574
533	0.08879416266
534	0.08873662173
535	0.08860355762
536	0.08857676507
537	0.08850732635
538	0.08842543237
539	0.0883309721
540	0.08825283697
541	0.08818394578
542	0.08809704843
543	0.08800234449
544	0.08795598608
545	0.08792656444
546	0.08784406155
547	0.08771156109
548	0.08757402032
549	0.08746915006
550	0.0874200213
551	0.0873383559
552	0.08722074632
553	0.08712516209
554	0.08705238789
555	0.08696043956
556	0.08687318777
557	0.0868414871
558	0.08678273959
559	0.08670571305
560	0.08664970169
561	0.08658589961
562	0.08654131977
563	0.08648536614
564	0.0864020755
565	0.0863588825
566	0.08627592749
567	0.08625953372
568	0.08617213453
569	0.0861124308
570	0.08604253653
571	0.08601189115
572	0.08595120323
573	0.08588307499
574	0.08570871836
575	0.08564448301
576	0.08555447122
577	0.08546405512
578	0.08530997759
579	0.08521063568
580	0.08513140609
581	0.08509508848
582	0.08500630563
583	0.08497653209
584	0.08488020123
585	0.08482420246
586	0.08466268091
587	0.0845692039
588	0.08447039737
589	0.08441358232
590	0.08435976399
591	0.08429297437
592	0.08421459417
593	0.08415662663
594	0.084106425
595	0.08408070712
596	0.08405060572
597	0.08395533747
598	0.08388495434
599	0.08380826903
600	0.08372980129
601	0.08363077059
602	0.0835609202
603	0.08348515535
604	0.08340883065
605	0.08339789909
606	0.08335438876
607	0.08329509433
608	0.08325844327
609	0.08316593283
610	0.0831546729
611	0.08308051
612	0.08301005461
613	0.08294316964
614	0.08283427141
615	0.08281740591
616	0.08269828072
617	0.08262203092
618	0.0825456492
619	0.08246475974
620	0.08239813957
621	0.08232247208
622	0.08223659033
623	0.08214660712
624	0.08202426193
625	0.08194028604
626	0.08188408711
627	0.08174172045
628	0.08169969297
629	0.0816113576
630	0.08154215736
631	0.08147135049
632	0.08139772649
633	0.08129253571
634	0.08119846896
